stratum,name,repo_canonical,rule,note
joss,Atmospheric Retrievals with petitRADTRANS,gitlab.com/mauricemolli/petitradtrans,R3_version_paper_superseded,kept 2024-10-07
joss,Time-frequency component of the GreenX library: minimax grids for efficient RPA and GW calculations,github.com/nomad-coe/greenx,R3_version_paper_superseded,kept 2025-05-23
joss,Fast Resampling and Monte Carlo Methods in Python,github.com/mdhaber/scipy,R3_version_paper_superseded,kept 2026-03-19
joss,FAME-Io: Configuration tools for complex agent-based simulations,gitlab.com/fame-framework/fame-io,R3_version_paper_superseded,kept 2026-08-11
joss,`tukey_hsd`: An Accurate Implementation of the Tukey Honestly Significant Difference Test in Python,github.com/mdhaber/scipy,R3_version_paper_superseded,kept 2026-03-19
joss,PyAMG: Algebraic Multigrid Solvers in Python,github.com/pyamg/pyamg,R3_version_paper_superseded,kept 2023-07-04
joss,The MOOSE geochemistry module,github.com/idaholab/moose,R3_version_paper_superseded,kept 2024-02-14
joss,dataquieR: assessment of data quality in epidemiological research,gitlab.com/libreumg/dataquier,R3_version_paper_superseded,kept 2024-06-28
joss,PySensors: A Python package for sparse sensor placement,github.com/dynamicslab/pysensors,R3_version_paper_superseded,kept 2026-02-17
joss,PorousFlow: a multiphysics simulation code for coupled problems in porous media,github.com/idaholab/moose,R3_version_paper_superseded,kept 2024-02-14
joss,PySINDy: A Python package for the sparse identification of nonlinear dynamical systems from data,github.com/dynamicslab/pysindy,R3_version_paper_superseded,kept 2022-01-29
joss,SpeciesEvolver: A Landlab component to evolve life in simulated landscapes,github.com/landlab/landlab,R3_version_paper_superseded,kept 2020-09-24
joss,GroundwaterDupuitPercolator: A Landlab component for groundwater flow,github.com/landlab/landlab,R3_version_paper_superseded,kept 2020-09-24
joss,stingray: A modern Python library for spectral timing,github.com/stingraysoftware/stingray,R3_version_paper_superseded,kept 2024-10-24
joss,surfinpy: A Surface Phase Diagram Generator,github.com/symmy596/surfinpy,R3_version_paper_superseded,kept 2022-03-03
joss,ArviZ a unified library for exploratory analysis of Bayesian models in Python,github.com/arviz-devs/arviz,R3_version_paper_superseded,kept 2026-03-06
